habitatColourID,colourName_forUserInfoOnly,colourRangeMin,colourRangeMax,habitatType,habitatSwitchedOn?,ONLY FLOWER DATA BEYOND THIS COLUMN!,Alsike_clover,American_willowherb,Average_Willow,Bell_heather,Birdsfoot_trefoil,Blackthorn,Bramble,Buckwheat,Bugle,Burdock,Buttercup,Charlock,Chicory,Comfrey,Common_bluebell,Common_cats_ear,Common_field_speedwell,Common_fumitory,Common_knapweed,Common_mouse_ear,Common_vetch,Creeping_buttercup,Crop_Apple,Crop_Cereals,Crop_Field_beans,Crop_Maize,Crop_Oilseed_rape,Cross_leaved_heath,Daisy,Dandelion,Dog_rose,Field_pansy,Field_scabious,Field_woundwort,Foxglove,Germander_speedwell,Giant_bindweed,Gorse,Greater_birdsfoot_trefoil,Greater_knapweed,Ground_ivy,Hawthorn,Heath_speedwell,Hedge_bindweed,Hedge_woundwort,Ling,Marsh_thistle,Meadow_buttercup,Meadowsweet,Oilseed_rape,Ox-eye_daisy,Phacelia,Prickly_sow_thistle,Ragwort,Red_campion,Red_clover,Red_dead_nettle,Redshank,Ribwort_plantain,Rosebay_willowherb,Salad_burnet,Scarlet_pimpernel,Selfheal,Silverweed,Smooth_hawksbeard,Spear_thistle,St_Johns_wort,Sunflower,Tormentil,Tufted_vetch,Vipers_bugloss,White_clover,White_dead_nettle,White_mustard,Wild_carrot,Wild_radish,Wild_teasel,Yarrow,Yellow_rattle
115,violet,113,117,Improved,TRUE,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0,0,0,0,0,0,0
122,darkmagenta,122,122,Flower_margin,TRUE,n/a,0,0,0,0,0.236666667,0,0,0,0,0,0,0,6.154444444,0,0,0.011666667,0,0.333333333,0.103333333,0,0.016666667,0,0,0,0,0,0,0,0,0,0,0.102222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.186666667,0.024444444,0.082222222,0.041111111,2.615333333,0,0,0,0,0,0.12,0,0,0,0.003333333,0,0,0,0,0,1.9,0,0,0.568333333,1.823333333,0,0,0
125,magenta,123,127,Scrub,TRUE,n/a,0,0,1.208333333,0,0.215064103,1.291666667,0.211313131,0,0.508645833,0.05,0.792194444,0,0,0,0.255555556,0,0,0,0.56025641,0,0.011458333,0,0,0,0,0,0,0,0,0.113422619,0.055069444,0,0.022916667,0,0.085625,0,0.031944444,0,0,0.029166667,0.095245098,0.600694444,0,0,0.287,0,0.016428571,0,0,0.018055556,0,0,0,0.063083333,0,0.04634058,0.027916667,0,0,0.0425,0,0,0.05974359,0,0,0.006428571,0.01125,0,0,0.026111111,0.5,0.760401235,0.170952381,0,0,0,0.037291667,0,0
128,lightmagenta,128,128,BirdBumble_mix,TRUE,n/a,0.49,0.42,0,0,0.01,0,0,1.53,0,0,0,0,0,0,0,0,0.21,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0.15,0,1.86,0,0,0,0.02,0,0,0,0.01,0,0.02,0,0,0.07,0.73,0,0.01,0,0,0,0,0,1.84,0,0,0,0.01,0
135,pink,133,137,Grassland,TRUE,n/a,0,0,0,0,0.351973684,0.225,0.016666667,0,0.028125,0.016666667,2.160806452,0,0,0,0.486666667,0,0,0,0.01125,0,0.034375,0,0,0,0,0,0,0,0,0.121182796,0,0,0.016666667,0,0,0,0,0,0,0,0.059479167,0.616666667,0,0,0.004166667,0,0,0,0,0,0,0,0,0.022916667,0,0.252746914,0.0255,0,0,0,0,0,0.112954545,0,0,0.005,0,0,0,0.116666667,0,1.666694444,0.025,0,0,0,0,0,0
FlowerSpeciesList_Legume,,-1,-1,Legume,FALSE,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.02,0,0,0,0,0,0,0,0.1077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.123,0,0,0,0,0,0,0,0,0,0,0,0,16.13077,0,0,0,0,0,0,0
FlowerSpeciesList_Margin,,-1,-1,Margin,FALSE,n/a,0,0,0,0,0.236666667,0,0,0,0,0,0,0,6.154444444,0,0,0.011666667,0,0.333333333,0.103333333,0,0.016666667,0,0,0,0,0,0,0,0,0,0,0.102222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.186666667,0.024444444,0.082222222,0.041111111,2.615333333,0,0,0,0,0,0.12,0,0,0,0.003333333,0,0,0,0,0,1.9,0,0,0.568333333,1.823333333,0,0,0
FlowerSpeciesList_newCSO_Legume,,-1,-1,newCSO_Legume,FALSE,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.02,0,0,0,0,0,0,0,0.1077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.123,0,0,0,0,0,0,0,0,0,0,0,0,16.13077,0,0,0,0,0,0,0
FlowerSpeciesList_newCSO_Margin,,-1,-1,BirdBumble_Margin,FALSE,n/a,0.49,0.42,0,0,0.01,0,0,1.53,0,0,0,0,0,0,0,0,0.21,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0.15,0,1.86,0,0,0,0.02,0,0,0,0.01,0,0.02,0,0,0.07,0.73,0,0.01,0,0,0,0,0,1.84,0,0,0,0.01,0
FlowerSpeciesList_newCSO_Plot,,-1,-1,GameCover_Plot,FALSE,n/a,0,0,0,0,0,0,0,6.276666667,0,0,0,0,0,0,0,0,4.79,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.47,0.19,0,0,0,0.16,0,0,0,0,1.185,0,0,0,0,0,2.2,0,0,0,0,0,0.82,0,17.37333333,0,0,0
FlowerSpeciesList_Plot,,-1,-1,Plot,FALSE,n/a,0,0,0,0,5.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.058333333,0,30.805,0,0,0,0,0,0,0,1.67E-02,0,0,0,0,0,0.16875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.855,0.033,0,0,0,0,0,0.01875,0,0.10625,0,0,0,0,0,0,1.725,0,0,0,0,0,0,0
